China-City-List v202408310,,,,,,,,,,,,,
Location_ID,Location_Name_EN,Location_Name_ZH,ISO_3166_1,Country_Region_EN,Country_Region_ZH,Adm1_Name_EN,Adm1_Name_ZH,Adm2_Name_EN,Adm2_Name_ZH,Timezone,Latitude,Longitude,AD_code
101010100,Beijing,北京,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,39.9050,116.4053,110000
101010200,Haidian,海淀,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,39.9561,116.3103,110108
101010300,Chaoyang,朝阳,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,39.9215,116.4864,110105
101010400,Shunyi,顺义,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,40.1289,116.6535,110113
101010500,Huairou,怀柔,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,40.3243,116.6371,110116
101010600,Tongzhou,通州,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,39.9025,116.6586,110112
101010700,Changping,昌平,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,40.2181,116.2359,110114
101010800,Yanqing,延庆,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,40.4653,115.9850,110119
101010900,Fengtai,丰台,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,39.8636,116.2870,110106
101011000,Shijingshan,石景山,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,39.9146,116.1954,110107
101011100,Daxing,大兴,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,39.7289,116.3380,110115
101011200,Fangshan,房山,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,39.7355,116.1392,110111
101011300,Miyun,密云,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,40.3774,116.8434,110118
101011400,Mentougou,门头沟,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,39.9372,116.1054,110109
101011500,Pinggu,平谷,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,40.1448,117.1123,110117
101011600,Dongcheng,东城,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,39.9175,116.4188,110101
101011700,Xicheng,西城,CN,China,中国,Beijing,北京市,Beijing,北京市,Asia/Shanghai,39.9153,116.3668,110102
101020100,Shanghai,上海,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.2317,121.4726,310000
101020200,Minhang,闵行,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.1117,121.3760,310112
101020300,Baoshan,宝山,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.3989,121.4899,310113
101020400,Huangpu,黄浦,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.2228,121.4903,310101
101020500,Jiading,嘉定,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.3835,121.2503,310114
101020600,Pudong,浦东新区,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.2459,121.5677,310115
101020700,Jinshan,金山,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,30.7247,121.3307,310116
101020800,Qingpu,青浦,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.1512,121.1130,310118
101020900,Songjiang,松江,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.0305,121.2235,310117
101021000,Fengxian,奉贤,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,30.9123,121.4585,310120
101021100,Chongming,崇明,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.6269,121.3975,310151
101021200,Xuhui,徐汇,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.1800,121.4375,310104
101021300,Changning,长宁,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.2181,121.4222,310105
101021400,Jing'an,静安,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.2290,121.4482,310106
101021500,Putuo,普陀,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.2417,121.3925,310107
101021600,Hongkou,虹口,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.2610,121.4918,310109
101021700,Yangpu,杨浦,CN,China,中国,Shanghai,上海市,Shanghai,上海市,Asia/Shanghai,31.2708,121.5228,310110
101030100,Tianjin,天津,CN,China,中国,Tianjin,天津市,Tianjin,天津市,Asia/Shanghai,39.1256,117.1902,120000
101030200,Wuqing,武清,CN,China,中国,Tianjin,天津市,Tianjin,天津市,Asia/Shanghai,39.3769,117.0580,120114
101030300,Baodi,宝坻,CN,China,中国,Tianjin,天津市,Tianjin,天津市,Asia/Shanghai,39.7170,117.3081,120115
101030400,Dongli,东丽,CN,China,中国,Tianjin,天津市,Tianjin,天津市,Asia/Shanghai,39.0878,117.3140,120110
101030500,Xiqing,西青,CN,China,中国,Tianjin,天津市,Tianjin,天津市,Asia/Shanghai,39.1394,117.0122,120111
101030600,Beichen,北辰,CN,China,中国,Tianjin,天津市,Tianjin,天津市,Asia/Shanghai,39.2256,117.1348,120113
101030700,Ninghe,宁河,CN,China,中国,Tianjin,天津市,Tianjin,天津市,Asia/Shanghai,39.3289,117.8283,120117
101030800,Heping,和平,CN,China,中国,Tianjin,天津市,Tianjin,天津市,Asia/Shanghai,39.1183,117.1959,120101
101030900,Jinghai,静海,CN,China,中国,Tianjin,天津市,Tianjin,天津市,Asia/Shanghai,38.9357,116.9253,120118
