和风天气景点ID v2.1 update by 2020-03-29,,,
Location_ID, 景点名称,一级行政区划(Adm1),二级行政区划(Adm2)
10101010001A,北京明城墙遗址公园,北京,北京
10101010002A,北京市规划展览馆,北京,北京
10101010003A,明城墙遗址公园,北京,北京
10101010004A,天坛公园,北京,北京
10101010005A,南锣鼓巷,北京,北京
10101010006A,北京国子监,北京,北京
10101010007A,北京孔庙,北京,北京
10101010008A,月坛公园,北京,北京
10101010009A,中国地质博物馆,北京,北京
10101010010A,北海公园,北京,北京
10101010011A,北京海洋馆,北京,北京
10101010012A,景山公园,北京,北京
10101010013A,什刹海,北京,北京
10101010014A,首都博物馆,北京,北京
10101010015A,元大都城垣遗址公园,北京,北京
10101010016A,中山公园,北京,北京
10101010017A,恭王府,北京,北京
10101010018A,故宫博物院,北京,北京
10101010019A,北京湖广会馆,北京,北京
10101010020A,湖广会馆大戏楼,北京,北京
10101010021A,老舍茶馆,北京,北京
10101020001A,百望山森林公园,北京,北京
10101020002A,北京鹫峰国家森林公园,北京,北京
10101020003A,北京天文馆,北京,北京
10101020004A,锦绣大地农业观光园区,北京,北京
10101020005A,太平洋汉海海底世界,北京,北京
10101020006A,北京动物园,北京,北京
10101020007A,北京植物园,北京,北京
10101020008A,凤凰岭自然风景区公园,北京,北京
10101020009A,香山公园,北京,北京
10101020010A,玉渊潭公园,北京,北京
10101020011A,圆明园遗址公园,北京,北京
10101020012A,中国科学院植物研究所北京植物园,北京,北京
10101020013A,中央电视塔,北京,北京
10101020014A,紫竹院公园,北京,北京
10101020015A,颐和园,北京,北京
10101030001A,红领巾公园,北京,北京
10101030002A,日坛公园,北京,北京
10101030003A,团结湖公园,北京,北京
10101030004A,北京欢乐谷,北京,北京
10101030005A,北京中华民族博物院,北京,北京
10101030006A,朝阳公园,北京,北京
10101030007A,蟹岛绿色生态度假村,北京,北京
10101030008A,中国紫檀博物馆,北京,北京
10101030009A,中华民族园,北京,北京
10101030010A,奥林匹克森林公园,北京,北京
10101030011A,北京奥林匹克公园,北京,北京
10101030012A,国家体育场,北京,北京
10101040001A,汉石桥湿地自然保护区,北京,北京
10101050001A,北京生存岛实践基地,北京,北京
10101050002A,黄花城水长城,北京,北京
10101050003A,响水湖长城自然风景区,北京,北京
10101050004A,幽谷神潭,北京,北京
10101050005A,云蒙山国家森林公园,北京,北京
10101050006A,红螺寺,北京,北京
10101050007A,青龙峡,北京,北京
10101050008A,雁栖湖,北京,北京
10101050009A,慕田峪长城,北京,北京
10101060001A,韩美林艺术馆,北京,北京
