POI-Air-Monitoring-Station-List-latest v2.0 update by 2020-06-03,,,,,,,,,,,,,,
POI_ID,POI_Name,POI_Latitude,POI_Longitude,POI_Type,Country_code,Country_EN,Country_CN,Location_ID,Location_Name_EN,Location_Name_CN,Adm2_EN,Adm2_CN,Adm1_EN,Adm1_CN
CNA1001,万寿西宫,39.8673,116.366,AirMonitoringStation,CN,China,中国,101010900,Fengtai,丰台,Beijing,北京市,Beijing,北京市
CNA1002,定陵,40.2865,116.17,AirMonitoringStation,CN,China,中国,101010700,Changping,昌平,Beijing,北京市,Beijing,北京市
CNA1003,东四,39.9522,116.434,AirMonitoringStation,CN,China,中国,101010300,Chaoyang,朝阳,Beijing,北京市,Beijing,北京市
CNA1004,天坛,39.8745,116.434,AirMonitoringStation,CN,China,中国,101010900,Fengtai,丰台,Beijing,北京市,Beijing,北京市
CNA1005,农展馆,39.9716,116.473,AirMonitoringStation,CN,China,中国,101010300,Chaoyang,朝阳,Beijing,北京市,Beijing,北京市
CNA1006,官园,39.9425,116.361,AirMonitoringStation,CN,China,中国,101011700,Xicheng,西城,Beijing,北京市,Beijing,北京市
CNA1007,海淀区万柳,39.9934,116.315,AirMonitoringStation,CN,China,中国,101010200,Haidian,海淀,Beijing,北京市,Beijing,北京市
CNA1008,顺义新城,40.1438,116.72,AirMonitoringStation,CN,China,中国,101010400,Shunyi,顺义,Beijing,北京市,Beijing,北京市
CNA1009,怀柔镇,40.3937,116.644,AirMonitoringStation,CN,China,中国,101010500,Huairou,怀柔,Beijing,北京市,Beijing,北京市
CNA1010,昌平镇,40.1952,116.23,AirMonitoringStation,CN,China,中国,101010200,Haidian,海淀,Beijing,北京市,Beijing,北京市
CNA1011,奥体中心,40.0031,116.407,AirMonitoringStation,CN,China,中国,101010300,Chaoyang,朝阳,Beijing,北京市,Beijing,北京市
CNA1012,古城,39.9279,116.225,AirMonitoringStation,CN,China,中国,101010200,Haidian,海淀,Beijing,北京市,Beijing,北京市
CNA1015,勤俭道,39.1654,117.145,AirMonitoringStation,CN,China,中国,101030500,Xiqing,西青,Tianjin,天津市,Tianjin,天津市
CNA1017,大直沽八号路,39.1082,117.237,AirMonitoringStation,CN,China,中国,101031200,Hedong,河东,Tianjin,天津市,Tianjin,天津市
CNA1018,前进道,39.0927,117.202,AirMonitoringStation,CN,China,中国,101031300,Hexi,河西,Tianjin,天津市,Tianjin,天津市
CNA1019,淮河道,39.2133,117.1837,AirMonitoringStation,CN,China,中国,101030600,Beichen,北辰,Tianjin,天津市,Tianjin,天津市
CNA1021,跃进路,39.0877,117.307,AirMonitoringStation,CN,China,中国,101030400,Dongli,东丽,Tianjin,天津市,Tianjin,天津市
CNA1023,第四大街,39.0343,117.707,AirMonitoringStation,CN,China,中国,101031100,Binhaixinqu,滨海新区,Tianjin,天津市,Tianjin,天津市
