POI-Port-List-latest v1.0 update by 2020-12-12,,,,,,,,,,,,,,
POI_ID,POI_Name_EN,POI_Name_ZH,POI_Latitude,POI_Longitude,POI_Type,Country_code,Country_EN,Country_ZH,Location_Name_EN,Location_Name_ZH,Adm2_EN,Adm2_ZH,Adm1_EN,Adm1_ZH
P2872,dandong,丹东,40.11667,124.4,Port,CN,China,中国,Dandong,丹东,,,Liaoning,辽宁
P2122,dandongxingang,丹东新港,39.81667,124.15667,Port,CN,China,中国,Dandong,丹东,,,Liaoning,辽宁
P2461,shishanzi,石山子,39.96667,123.66667,Port,CN,China,中国,Dandong,丹东,,,Liaoning,辽宁
P2499,daludao,大鹿岛,39.75,123.75,Port,CN,China,中国,Dandong,丹东,,,Liaoning,辽宁
P2727,xiaochangshandao,小长山岛,39.23,122.67833,Port,CN,China,中国,Dalian,大连,,,Liaoning,辽宁
P2892,dayaowan nandaquan,大窑湾,39.01667,121.9,Port,CN,China,中国,Dalian,大连,,,Liaoning,辽宁
P2951,dalian(laohutan),大连,38.87167,121.67833,Port,CN,China,中国,Dalian,大连,,,Liaoning,辽宁
P2432,lushunxingang,旅顺新港,38.8,121.13333,Port,CN,China,中国,Dalian,大连,,,Liaoning,辽宁
P2699,jinxian,金县,39.05,121.53333,Port,CN,China,中国,Dalian,大连,,,Liaoning,辽宁
P2543,hulutao,葫芦套,39.2725,121.6,Port,CN,China,中国,Dalian,大连,,,Liaoning,辽宁
P2146,changxingdao,长兴岛,39.47667,121.255,Port,CN,China,中国,Dalian,大连,,,Liaoning,辽宁
P2886,bayuquan,鲅鱼圈,40.28333,122.09167,Port,CN,China,中国,Yingkou,营口,,,Liaoning,辽宁
P2785,yingkou,营口,40.63333,122.15,Port,CN,China,中国,Yingkou,营口,,,Liaoning,辽宁
P2938,laobeihekou,老北河口,40.96667,121.83333,Port,CN,China,中国,Panjin,盘锦,,,Liaoning,辽宁
P2953,jinzhougang(bijiashan),锦州港,40.8,121.06667,Port,CN,China,中国,Jinzhou,锦州,,,Liaoning,辽宁
P2738,juhuadao,菊花岛,40.48333,120.83333,Port,CN,China,中国,Huludao,葫芦岛,,,Liaoning,辽宁
P2689,tuanshanjiao,团山角,40.23333,120.46667,Port,CN,China,中国,Huludao,葫芦岛,,,Liaoning,辽宁
P2442,zhimaowan,芷锚湾,40.01167,119.92,Port,CN,China,中国,Huludao,葫芦岛,,,Liaoning,辽宁
P2490,shanhaiguan,山海关,39.97917,119.81667,Port,CN,China,中国,Qinhuangdao,秦皇岛,,,Hebei,河北
P2454,qinhuangdao,秦皇岛,39.90667,119.60333,Port,CN,China,中国,Qinhuangdao,秦皇岛,,,Hebei,河北
P2436,qilihai(xinkaikou),七里海,39.58333,119.28333,Port,CN,China,中国,Qinhuangdao,秦皇岛,,,Hebei,河北
P2246,jingtanggang,京唐港,39.205,119.00833,Port,CN,China,中国,Tangshan,唐山,,,Hebei,河北
P2651,caofeidian,曹妃甸,38.915,118.505,Port,CN,China,中国,Tangshan,唐山,,,Hebei,河北
P2643,tanggu,塘沽,38.98333,117.78333,Port,CN,China,中国,Tianjin,天津,,,Tianjin,天津
P2712,qikou,岐口,38.6,117.51667,Port,CN,China,中国,Cangzhou,沧州,,,Hebei,河北
P2426,chengkouwaihai,埕口外海,38.45,118.43333,Port,CN,China,中国,Dongying,东营,,,Shandong,山东
P2398,huanghuagang(yiqimeimatou),黄骅港,38.325,117.88167,Port,CN,China,中国,Cangzhou,沧州,,,Hebei,河北
P2418,dongfenggang,东风港,38.25,118.16667,Port,CN,China,中国,Binzhou,滨州,,,Shandong,山东
P2578,wanwangoukou,湾湾沟口,38.18333,118.45,Port,CN,China,中国,Dongying,东营,,,Shandong,山东
P2939,dongyinggang,东营港,38.13833,119.03833,Port,CN,China,中国,Dongying,东营,,,Shandong,山东
P2232,weifanggang,潍坊港,37.23333,119.18333,Port,CN,China,中国,Weifang,潍坊,,,Shandong,山东
P2131,laizhougang,莱州港,37.41667,119.93333,Port,CN,China,中国,Yantai,烟台,,,Shandong,山东
