POI-Tidal-Station-List-latest v1.2 update by 2022-12-27,,,,,,,
POI_ID,POI_Name_Local,POI_Name_EN,POI_Name_ZH,POI_Latitude,POI_Longitude,POI_Type,ISO 3166
P2872,丹东,Dandong,丹东,40.11667,124.4,Tidal Station,CN
P2122,丹东新港,Dandong New Port,丹东新港,39.81667,124.15667,Tidal Station,CN
P2461,石山子,Shishanzi,石山子,39.96667,123.66667,Tidal Station,CN
P2499,大鹿岛,Dalu Island,大鹿岛,39.75,123.75,Tidal Station,CN
P2727,小长山岛,Xiaochangshan Island,小长山岛,39.23,122.67833,Tidal Station,CN
P2892,大窑湾,Dayaowan,大窑湾,39.01667,121.9,Tidal Station,CN
P2951,大连,Dalian(Laohutan),大连,38.87167,121.67833,Tidal Station,CN
P2432,旅顺新港,Lüshun New Port,旅顺新港,38.8,121.13333,Tidal Station,CN
P2699,金县,Jinxian,金县,39.05,121.53333,Tidal Station,CN
P2543,葫芦套,Hulutao,葫芦套,39.2725,121.6,Tidal Station,CN
P2146,长兴岛,Changxing Island,长兴岛,39.47667,121.255,Tidal Station,CN
P2886,鲅鱼圈,Bayuquan,鲅鱼圈,40.28333,122.09167,Tidal Station,CN
P2785,营口,Yingkou,营口,40.63333,122.15,Tidal Station,CN
P2938,老北河口,Laobeihekou,老北河口,40.96667,121.83333,Tidal Station,CN
P2953,锦州港,Jinzhou Port,锦州港,40.8,121.06667,Tidal Station,CN
P2738,菊花岛,Juhua Island,菊花岛,40.48333,120.83333,Tidal Station,CN
P2689,团山角,Tuanshanjiao,团山角,40.23333,120.46667,Tidal Station,CN
P2442,芷锚湾,Zhimaowan,芷锚湾,40.01167,119.92,Tidal Station,CN
P2490,山海关,Shanhaiguan,山海关,39.97917,119.81667,Tidal Station,CN
P2454,秦皇岛,Qinhuangdao,秦皇岛,39.90667,119.60333,Tidal Station,CN
P2436,七里海,Qilihai(Xinkaikou),七里海,39.58333,119.28333,Tidal Station,CN
P2246,京唐港,Jingtang Port,京唐港,39.205,119.00833,Tidal Station,CN
P2651,曹妃甸,Caofeidian,曹妃甸,38.915,118.505,Tidal Station,CN
P2643,塘沽,Tanggu,塘沽,38.98333,117.78333,Tidal Station,CN
P2712,岐口,Qikou,岐口,38.6,117.51667,Tidal Station,CN
P2426,埕口外海,Chengkouwaihai,埕口外海,38.45,118.43333,Tidal Station,CN
P2398,黄骅港,Huanghua Port,黄骅港,38.325,117.88167,Tidal Station,CN
P2418,东风港,Dongfeng Port,东风港,38.25,118.16667,Tidal Station,CN
P2578,湾湾沟口,Wanwangoukou,湾湾沟口,38.18333,118.45,Tidal Station,CN
P2939,东营港,Dongying Port,东营港,38.13833,119.03833,Tidal Station,CN
P2232,潍坊港,Weifang Port,潍坊港,37.23333,119.18333,Tidal Station,CN
P2131,莱州港,Laizhou Port,莱州港,37.41667,119.93333,Tidal Station,CN
P2172,龙口,Longkou,龙口,37.65167,120.315,Tidal Station,CN
P2992,蓬莱,Penglai,蓬莱,37.83,120.73833,Tidal Station,CN
P2560,南长山岛,Nanchangshan Island,南长山岛,37.91667,120.7,Tidal Station,CN
P2169,砣矶岛,Tuojidao,砣矶岛,38.16667,120.75,Tidal Station,CN
